Page,Title,Price,Sold,Date
1,"Samsung Galaxy A55 5G - 8GB 256GB - 6.6"" Display - 5000 mAh Battery - PTA Approved 1 Year Official Warranty","Rs. 138,999",16 sold,2024-08-06 13:06:53.487028+00:00
1,OnePlus 7 Pro Dual Sim 8GB Ram 256GB Rom,"Rs. 78,000",30 sold,2024-08-06 13:06:53.488028+00:00
1,Sparx Neo 7 Plus - 4GB RAM 64GB ROM - 6.5 Inches Display - IPS LCD - Dual SIM - 5000mAh Battery,"Rs. 21,499",6 sold,2024-08-06 13:06:53.488028+00:00
1,Google Pixel 4A  5G - 6GB RAM - 128GB Storage - 3885mAh Battery - Official PTA Approved 5G Phone,"Rs. 53,500",90 sold,2024-08-06 13:06:53.488028+00:00
1,ITEL S23 - 8GB +8GB RAM 128GB ROM - 5000 mAh Battery,"Rs. 22,699",17 sold,2024-08-06 13:06:53.488028+00:00
1,Realme Note 50 - 4GB RAM 64GB/128GB ROM - 6.7 Inches Display - IPS LCD - Dual SIM - 5000mAh Battery,"Rs. 24,999",28 sold,2024-08-06 13:06:53.489656+00:00
1,Infinix Note 40 Pro RAM 12GB ROM 256GB CAMERA 108 MP Fast Charging One Year Brand Warranty Offcial,"Rs. 80,990",25 sold,2024-08-06 13:06:53.489656+00:00
1,"VNUS Rock 1 - 6.26"" Inch Display - 1GB RAM - 32GB ROM","Rs. 11,999",40 sold,2024-08-06 13:06:53.490608+00:00
1,"Tecno Spark 20 Pro Plus (8GB-256GB) Display 6.78"" PTA Approved 1 Year Official Warranty","Rs. 57,499",,2024-08-06 13:06:53.490608+00:00
1,Samsung Galaxy S24 Ultra 12GB RAM-512GB ROM 5000mAh PTA Approved Official Brand Warranty,"Rs. 469,999",,2024-08-06 13:06:53.490608+00:00
1,Sony Xperia 5 Mark 2 -  8GB RAM - 128GB ROM - 4000mAh Battery - Official PTA Approved  (Xperia 5ii),"Rs. 63,650",6 sold,2024-08-06 13:06:53.491608+00:00
1,"Vivo V27e - 6.62"" Inch Display - 8GB RAM - 256GB ROM","Rs. 82,999",30 sold,2024-08-06 13:06:53.491608+00:00
1,OnePlus 9 Pro Dual Sim 12GB Ram 256GB Rom,"Rs. 128,000",40 sold,2024-08-06 13:06:53.491608+00:00
1,Tecno Pova 5 Pro 5G || 8GB Ram 256GB Rom || 5000mAh Battery With 68W Charging,"Rs. 49,999",12 sold,2024-08-06 13:06:53.492609+00:00
1,"Samsung Galaxy A55 5G - 8GB/256GB - 6.6"" Display - 5000 mAh Battery","Rs. 139,999",222 sold,2024-08-06 13:06:53.492609+00:00
1,"VIVO Y03 - 4GB + 4GB Expandable RAM - 64GB/128GB  ROM Expandable ROM 1TB - 6.56"" 90 Hz Display - 5000mAh Battery - PTA Approved","Rs. 27,499",18 sold,2024-08-06 13:06:53.493607+00:00
1,LG V60 Thinq 5G 8GB Ram 128GB Rom Single Sim,"Rs. 58,000",112 sold,2024-08-06 13:06:53.493607+00:00
1,Infinix Hot 40 - 8GB RAM 128GB/256GB ROM - 6.78 Inches Display - IPS LCD -  Dual SIM - 5000mAh Battery,"Rs. 37,499",14 sold,2024-08-06 13:06:53.493607+00:00
1,"Realme Note 50 || 4GB + 4GB Extended Ram 64GB Rom || 6.7"" 90Hz HD+ Display || 5000 mAh - Battery charging 10W","Rs. 25,199",26 sold,2024-08-06 13:06:53.494606+00:00
1,"Infinix Hot 30 Play RAM 4 GB ROM 64 GB Front Camera 8 MP Back Camera 16 MP + QVGA   Battery Type Li-Po 6000 mAh, non-removable","Rs. 29,990",20 sold,2024-08-06 13:06:53.494606+00:00
1,"TECNO SPARK Go 2024 64GB ROM+8GB RAM*(4GB+4GB Extended) 6.6""HD+Hole PTA APPROVED OFFICIAL BRAND WARRANT","Rs. 24,990",11 sold,2024-08-06 13:06:53.495611+00:00
1,"Samsung Galaxy A05 || 4GB Ram 64GB Rom || 6.7"" HD+ Display || Mediatek Helio G85 (12nm) || 5000 mAh- Fast charging 25W wired","Rs. 24,999",6 sold,2024-08-06 13:06:53.495611+00:00
1,"Calme 4G Spark 3.5"" Display 2GB Ram 16GB Rom 6000mAh Battery PTA Approved One Year Brand Warranty","Rs. 10,349",69 sold,2024-08-06 13:06:53.495611+00:00
1,"Sparx Note 20 8GB Ram 256GB Rom 6.67"" Display 50MP Rear Camera Media tek Helio G99 PTA Approved One Year Brand Warranty","Rs. 39,499",7 sold,2024-08-06 13:06:53.496612+00:00
1,Vivo Y18 RAM 4 GB ROM 128 GB Front Camera	8 MP Back Camera	50 MP + 0.08 MP Battery Type	Li-Ion 5000 mAh,"Rs. 37,980",13 sold,2024-08-06 13:06:53.496612+00:00
1,"Samsung A05s - 6GB/128GB - 6.7"" Display - Android 13 - 5000 mAh Battery","Rs. 44,999",265 sold,2024-08-06 13:06:53.496612+00:00
